identifier1	identifier2	lemma	mean_disagreement_cleaned	judgments
1918-1990_амбиция_788-15	1992-2016_амбиция_789-15	амбиция	0.0	[4, 4, 4]
1700-1916_амбиция_768-16	1992-2016_амбиция_769-16	амбиция	2.0	[1, 4, 4]
1700-1916_амбиция_770-14	1918-1990_амбиция_771-14	амбиция	1.3333333333333333	[4, 3, 2]
1700-1916_амбиция_770-16	1992-2016_амбиция_771-16	амбиция	0.0	[4, 4, 4]
1700-1916_амбиция_772-14	1918-1990_амбиция_773-14	амбиция	2.0	[3, 1, 4]
1700-1916_амбиция_772-16	1992-2016_амбиция_773-16	амбиция	0.0	[4, 4, 4]
1700-1916_амбиция_774-14	1918-1990_амбиция_775-14	амбиция	0.0	[4, 4, 4]
1700-1916_амбиция_774-16	1992-2016_амбиция_775-16	амбиция	0.6666666666666666	[4, 4, 3]
1700-1916_амбиция_776-16	1992-2016_амбиция_777-16	амбиция	0.0	[4, 4, 4]
1700-1916_амбиция_778-14	1918-1990_амбиция_774-15	амбиция	0.6666666666666666	[4, 4, 3]
1700-1916_амбиция_778-16	1992-2016_амбиция_779-16	амбиция	0.6666666666666666	[4, 3, 4]
1700-1916_амбиция_780-14	1918-1990_амбиция_781-14	амбиция	0.6666666666666666	[3, 4, 4]
1700-1916_амбиция_780-16	1918-1990_амбиция_777-14	амбиция	1.3333333333333333	[1, 3, 1]
1700-1916_амбиция_780-16	1992-2016_амбиция_781-16	амбиция	2.0	[4, 3, 1]
1700-1916_амбиция_782-14	1918-1990_амбиция_782-15	амбиция	0.0	[4, 4, 4]
1700-1916_амбиция_782-14	1992-2016_амбиция_751-16	амбиция	0.6666666666666666	[4, 3, 4]
1700-1916_амбиция_784-14	1918-1990_амбиция_785-14	амбиция	1.3333333333333333	[4, 2, 3]
1700-1916_амбиция_784-14	1992-2016_амбиция_783-16	амбиция	2.0	[2, 1, 4]
1700-1916_амбиция_784-16	1992-2016_амбиция_785-16	амбиция	0.0	[4, 4, 4]
1700-1916_амбиция_786-14	1918-1990_амбиция_787-14	амбиция	0.6666666666666666	[3, 3, 4]
1700-1916_амбиция_786-16	1992-2016_амбиция_787-16	амбиция	0.6666666666666666	[3, 3, 2]
1700-1916_амбиция_788-14	1918-1990_амбиция_789-14	амбиция	0.0	[4, 4, 4]
1700-1916_амбиция_788-14	1992-2016_амбиция_739-16	амбиция	0.0	[4, 4, 4]
1700-1916_амбиция_788-16	1992-2016_амбиция_789-16	амбиция	2.0	[3, 4, 1]
1700-1916_амбиция_790-16	1992-2016_амбиция_791-16	амбиция	0.6666666666666666	[3, 3, 4]
1700-1916_амбиция_768-16	1918-1990_амбиция_757-14	амбиция	0.6666666666666666	[4, 4, 3]
1700-1916_амбиция_768-14	1918-1990_амбиция_769-14	амбиция	0.6666666666666666	[4, 3, 3]
1700-1916_амбиция_766-16	1992-2016_амбиция_767-16	амбиция	0.0	[4, 4, 4]
1700-1916_амбиция_766-14	1918-1990_амбиция_767-14	амбиция	0.6666666666666666	[3, 4, 3]
1700-1916_амбиция_738-14	1918-1990_амбиция_739-14	амбиция	0.6666666666666666	[4, 3, 4]
1700-1916_амбиция_740-14	1918-1990_амбиция_741-14	амбиция	1.3333333333333333	[1, 2, 3]
1700-1916_амбиция_740-16	1992-2016_амбиция_741-16	амбиция	0.6666666666666666	[4, 3, 4]
1700-1916_амбиция_742-14	1918-1990_амбиция_743-14	амбиция	1.3333333333333333	[3, 4, 2]
1700-1916_амбиция_742-16	1918-1990_амбиция_791-14	амбиция	0.0	[4, 4, 4]
1700-1916_амбиция_742-16	1992-2016_амбиция_743-16	амбиция	1.3333333333333333	[4, 2, 4]
1700-1916_амбиция_744-14	1918-1990_амбиция_745-14	амбиция	0.6666666666666666	[3, 4, 4]
1700-1916_амбиция_744-16	1992-2016_амбиция_745-16	амбиция	1.3333333333333333	[4, 4, 2]
1700-1916_амбиция_746-14	1918-1990_амбиция_747-14	амбиция	0.0	[1, 1, 1]
1700-1916_амбиция_746-16	1992-2016_амбиция_747-16	амбиция	2.0	[3, 1, 4]
1700-1916_амбиция_748-14	1918-1990_амбиция_749-14	амбиция	0.0	[4, 4, 4]
1700-1916_амбиция_748-16	1992-2016_амбиция_749-16	амбиция	1.3333333333333333	[1, 3, 1]
1700-1916_амбиция_792-14	1918-1990_амбиция_793-14	амбиция	1.3333333333333333	[1, 3, 2]
1700-1916_амбиция_750-14	1918-1990_амбиция_751-14	амбиция	0.6666666666666666	[3, 2, 3]
1700-1916_амбиция_752-16	1992-2016_амбиция_753-16	амбиция	0.0	[4, 4, 4]
1700-1916_амбиция_754-14	1918-1990_амбиция_755-14	амбиция	2.0	[4, 1, 2]
1700-1916_амбиция_754-16	1992-2016_амбиция_755-16	амбиция	1.3333333333333333	[1, 3, 3]
1700-1916_амбиция_756-16	1992-2016_амбиция_757-16	амбиция	0.0	[4, 4, 4]
1700-1916_амбиция_758-14	1918-1990_амбиция_759-14	амбиция	0.0	[4, 4, 4]
1700-1916_амбиция_758-16	1992-2016_амбиция_759-16	амбиция	2.0	[4, 1, 4]
1700-1916_амбиция_760-14	1918-1990_амбиция_761-14	амбиция	0.6666666666666666	[3, 2, 2]
1700-1916_амбиция_760-16	1992-2016_амбиция_761-16	амбиция	0.6666666666666666	[2, 3, 3]
1700-1916_амбиция_762-14	1918-1990_амбиция_763-14	амбиция	1.3333333333333333	[2, 4, 3]
1700-1916_амбиция_762-16	1992-2016_амбиция_763-16	амбиция	0.6666666666666666	[3, 4, 4]
1700-1916_амбиция_764-14	1918-1990_амбиция_765-14	амбиция	1.3333333333333333	[3, 1, 1]
1700-1916_амбиция_764-16	1992-2016_амбиция_765-16	амбиция	0.0	[4, 4, 4]
1700-1916_амбиция_752-14	1918-1990_амбиция_753-14	амбиция	0.6666666666666666	[3, 4, 4]
1700-1916_амбиция_792-16	1992-2016_амбиция_793-16	амбиция	2.0	[4, 1, 3]
1700-1916_амбиция_794-14	1918-1990_амбиция_795-14	амбиция	0.6666666666666666	[3, 4, 4]
1700-1916_амбиция_794-16	1992-2016_амбиция_795-16	амбиция	0.6666666666666666	[4, 3, 4]
1918-1990_амбиция_740-15	1992-2016_амбиция_741-15	амбиция	1.3333333333333333	[4, 2, 4]
1918-1990_амбиция_742-15	1992-2016_амбиция_743-15	амбиция	0.6666666666666666	[4, 3, 4]
1918-1990_амбиция_744-15	1992-2016_амбиция_745-15	амбиция	1.3333333333333333	[2, 4, 3]
1918-1990_амбиция_746-15	1992-2016_амбиция_747-15	амбиция	0.0	[4, 4, 4]
1918-1990_амбиция_748-15	1992-2016_амбиция_749-15	амбиция	0.0	[4, 4, 4]
1918-1990_амбиция_750-15	1992-2016_амбиция_751-15	амбиция	0.0	[4, 4, 4]
1918-1990_амбиция_752-15	1992-2016_амбиция_753-15	амбиция	0.0	[4, 4, 4]
1918-1990_амбиция_753-14	1992-2016_амбиция_793-15	амбиция	1.3333333333333333	[3, 3, 1]
1918-1990_амбиция_754-15	1992-2016_амбиция_755-15	амбиция	0.0	[4, 4, 4]
1918-1990_амбиция_756-15	1992-2016_амбиция_757-15	амбиция	2.0	[4, 4, 1]
1918-1990_амбиция_758-15	1992-2016_амбиция_759-15	амбиция	2.0	[1, 4, 4]
1918-1990_амбиция_760-15	1992-2016_амбиция_761-15	амбиция	0.0	[4, 4, 4]
1918-1990_амбиция_762-15	1992-2016_амбиция_763-15	амбиция	1.3333333333333333	[4, 2, 3]
1918-1990_амбиция_764-15	1992-2016_амбиция_765-15	амбиция	1.3333333333333333	[2, 4, 4]
1918-1990_амбиция_766-15	1992-2016_амбиция_767-15	амбиция	0.0	[4, 4, 4]
1918-1990_амбиция_769-14	1992-2016_амбиция_779-15	амбиция	0.6666666666666666	[4, 3, 4]
1918-1990_амбиция_770-15	1992-2016_амбиция_771-15	амбиция	0.6666666666666666	[2, 3, 2]
1918-1990_амбиция_772-15	1992-2016_амбиция_773-15	амбиция	0.0	[4, 4, 4]
1918-1990_амбиция_774-15	1992-2016_амбиция_775-15	амбиция	0.6666666666666666	[4, 3, 4]
1918-1990_амбиция_776-15	1992-2016_амбиция_777-15	амбиция	0.6666666666666666	[4, 3, 3]
1918-1990_амбиция_780-15	1992-2016_амбиция_781-15	амбиция	0.6666666666666666	[3, 3, 4]
1918-1990_амбиция_781-14	1992-2016_амбиция_769-15	амбиция	0.0	[4, 4, 4]
1918-1990_амбиция_782-15	1992-2016_амбиция_783-15	амбиция	0.6666666666666666	[3, 2, 3]
1918-1990_амбиция_784-15	1992-2016_амбиция_785-15	амбиция	0.0	[4, 4, 4]
1918-1990_амбиция_786-15	1992-2016_амбиция_787-15	амбиция	0.6666666666666666	[4, 3, 4]
1918-1990_амбиция_738-15	1992-2016_амбиция_739-15	амбиция	2.0	[1, 1, 4]
1918-1990_амбиция_794-15	1992-2016_амбиция_795-15	амбиция	0.0	[4, 4, 4]
1918-1990_амбиция_796-15	1992-2016_амбиция_797-15	амбиция	2.0	[3, 4, 1]
1700-1916_амбиция_796-14	1918-1990_амбиция_797-14	амбиция	0.6666666666666666	[3, 4, 3]
1700-1916_амбиция_796-16	1992-2016_амбиция_797-16	амбиция	0.6666666666666666	[4, 3, 4]
1918-1990_амбиция_790-15	1992-2016_амбиция_791-15	амбиция	0.6666666666666666	[4, 3, 3]
археолог-0-12	археолог-1-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-10-12	археолог-11-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-100-12	археолог-101-12	археолог	0.4	[4, 4, 4, 4, 3]
археолог-104-12	археолог-105-12	археолог	0.4	[3, 4, 4, 4, 4]
археолог-102-12	археолог-103-12	археолог	1.8	[4, 4, 1, 1, 3]
археолог-106-12	археолог-107-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-116-12	археолог-117-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-110-12	археолог-111-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-58-12	археолог-59-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-6-12	археолог-7-12	археолог	0.4	[4, 4, 4, 3, 4]
археолог-60-12	археолог-61-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-62-12	археолог-63-12	археолог	1.0	[4, 2, 4, 3, 4]
археолог-64-12	археолог-65-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-66-12	археолог-67-12	археолог	0.4	[4, 4, 3, 4, 4]
археолог-68-12	археолог-69-12	археолог	0.8	[2, 4, 4, 4, 4]
археолог-70-12	археолог-71-12	археолог	0.4	[4, 4, 3, 4, 4]
археолог-72-12	археолог-73-12	археолог	1.4	[4, 4, 1, 3, 4]
археолог-74-12	археолог-75-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-76-12	археолог-77-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-78-12	археолог-79-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-8-12	археолог-9-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-80-12	археолог-81-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-82-12	археолог-83-12	археолог	0.4	[4, 4, 3, 4, 4]
археолог-84-12	археолог-85-12	археолог	0.4	[3, 4, 4, 4, 4]
археолог-86-12	археолог-87-12	археолог	1.6	[4, 4, 2, 1, 4]
археолог-88-12	археолог-89-12	археолог	0.6666666666666666	[3, 4, 3, 0, 4]
археолог-90-12	археолог-91-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-92-12	археолог-93-12	археолог	0.6	[4, 4, 4, 3, 3]
археолог-94-12	археолог-95-12	археолог	1.6	[3, 1, 4, 1, 2]
археолог-96-12	археолог-97-12	археолог	0.4	[4, 4, 4, 4, 3]
археолог-98-12	археолог-99-12	археолог	0.6	[3, 4, 3, 3, 4]
археолог-56-12	археолог-57-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-108-12	археолог-109-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-54-12	археолог-55-12	археолог	1.1666666666666667	[4, 0, 4, 2, 3]
археолог-50-12	археолог-51-12	археолог	1.4	[3, 4, 1, 4, 4]
археолог-112-12	археолог-113-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-114-12	археолог-115-12	археолог	1.6	[4, 4, 4, 2, 1]
археолог-12-12	археолог-13-12	археолог	1.0	[3, 4, 2, 3, 4]
археолог-14-12	археолог-15-12	археолог	0.4	[3, 4, 4, 4, 4]
археолог-16-12	археолог-17-12	археолог	0.4	[4, 3, 4, 4, 4]
археолог-18-12	археолог-19-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-2-12	археолог-3-12	археолог	1.2	[4, 4, 4, 1, 4]
археолог-20-12	археолог-21-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-22-12	археолог-23-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-24-12	археолог-25-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-26-12	археолог-27-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-28-12	археолог-29-12	археолог	0.6	[4, 3, 4, 3, 4]
археолог-30-12	археолог-31-12	археолог	0.6	[4, 3, 4, 4, 3]
археолог-32-12	археолог-33-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-34-12	археолог-35-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-36-12	археолог-37-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-38-12	археолог-39-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-4-12	археолог-5-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-40-12	археолог-41-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-42-12	археолог-43-12	археолог	0.6	[4, 4, 3, 4, 3]
археолог-44-12	археолог-45-12	археолог	0.4	[4, 3, 4, 4, 4]
археолог-46-12	археолог-47-12	археолог	1.2	[4, 3, 3, 1, 3]
археолог-48-12	археолог-49-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-52-12	археолог-53-12	археолог	0.0	[4, 4, 4, 4, 4]
археолог-118-12	археолог-119-12	археолог	0.0	[4, 4, 4, 4, 4]
беспредел-0-13	беспредел-1-13	беспредел	1.4	[3, 3, 4, 1, 2]
беспредел-10-13	беспредел-11-13	беспредел	1.4	[4, 4, 3, 1, 4]
беспредел-16-13	беспредел-17-13	беспредел	1.6	[3, 1, 4, 1, 3]
беспредел-18-13	беспредел-19-13	беспредел	0.6	[4, 3, 3, 4, 4]
беспредел-2-13	беспредел-3-13	беспредел	0.4	[4, 4, 4, 3, 4]
беспредел-20-13	беспредел-21-13	беспредел	1.0	[2, 4, 3, 3, 4]
беспредел-22-13	беспредел-23-13	беспредел	0.4	[4, 4, 3, 4, 4]
беспредел-4-13	беспредел-5-13	беспредел	0.6	[4, 3, 4, 4, 3]
беспредел-6-13	беспредел-7-13	беспредел	1.4	[3, 3, 1, 4, 4]
беспредел-8-13	беспредел-9-13	беспредел	0.4	[4, 4, 3, 4, 4]
беспредел-12-13	беспредел-13-13	беспредел	1.4	[4, 4, 3, 1, 3]
беспредел-14-13	беспредел-15-13	беспредел	0.6	[4, 4, 3, 3, 4]
благотворительность-42-13	благотворительность-43-13	благотворительность	0.0	[4, 4, 4, 4, 4]
благотворительность-56-13	благотворительность-57-13	благотворительность	1.2	[4, 4, 4, 2, 2]
благотворительность-54-13	благотворительность-55-13	благотворительность	0.4	[4, 3, 4, 4, 4]
благотворительность-52-13	благотворительность-53-13	благотворительность	0.0	[4, 4, 4, 4, 4]
благотворительность-50-13	благотворительность-51-13	благотворительность	0.0	[4, 4, 4, 4, 4]
благотворительность-48-13	благотворительность-49-13	благотворительность	1.0	[2, 4, 3, 4, 4]
благотворительность-46-13	благотворительность-47-13	благотворительность	1.4	[3, 1, 4, 4, 3]
благотворительность-44-13	благотворительность-45-13	благотворительность	1.4	[3, 4, 1, 3, 4]
благотворительность-40-13	благотворительность-41-13	благотворительность	0.6	[4, 3, 4, 4, 3]
благотворительность-24-13	благотворительность-25-13	благотворительность	1.6	[1, 3, 4, 4, 2]
благотворительность-38-13	благотворительность-39-13	благотворительность	0.4	[4, 4, 4, 4, 3]
благотворительность-36-13	благотворительность-37-13	благотворительность	1.2	[1, 4, 4, 4, 4]
благотворительность-34-13	благотворительность-35-13	благотворительность	1.2	[4, 4, 1, 4, 4]
благотворительность-32-13	благотворительность-33-13	благотворительность	0.0	[4, 4, 4, 4, 4]
благотворительность-30-13	благотворительность-31-13	благотворительность	1.0	[4, 3, 3, 4, 2]
благотворительность-28-13	благотворительность-29-13	благотворительность	1.3333333333333333	[0, 3, 0, 4, 2]
благотворительность-26-13	благотворительность-27-13	благотворительность	1.4	[4, 4, 1, 3, 4]
благотворительность-22-13	благотворительность-23-13	благотворительность	0.4	[4, 4, 4, 3, 4]
благотворительность-58-13	благотворительность-59-13	благотворительность	1.4	[3, 4, 4, 4, 1]
благотворительность-4-13	благотворительность-5-13	благотворительность	0.4	[4, 4, 3, 4, 4]
благотворительность-6-13	благотворительность-7-13	благотворительность	0.4	[3, 4, 4, 4, 4]
благотворительность-16-13	благотворительность-17-13	благотворительность	0.0	[4, 4, 4, 4, 4]
благотворительность-62-13	благотворительность-63-13	благотворительность	0.8	[4, 4, 4, 2, 4]
благотворительность-14-13	благотворительность-15-13	благотворительность	0.6	[4, 3, 4, 3, 3]
благотворительность-20-13	благотворительность-21-13	благотворительность	0.0	[4, 4, 4, 4, 4]
благотворительность-98-13	благотворительность-99-13	благотворительность	0.0	[4, 4, 4, 4, 4]
благотворительность-96-13	благотворительность-97-13	благотворительность	0.6	[4, 3, 3, 4, 4]
благотворительность-94-13	благотворительность-95-13	благотворительность	0.6	[3, 4, 4, 4, 3]
благотворительность-90-13	благотворительность-91-13	благотворительность	0.0	[4, 4, 4, 4, 4]
