identifier1	identifier2	lemma
modern_corpus_spanish-293376-609	modern_corpus_spanish-56973-657	actitud
modern_corpus_spanish-334692-449	old_corpus_spanish-370834-473	actitud
modern_corpus_spanish-185053-298	modern_corpus_spanish-704393-535	actitud
modern_corpus_spanish-185053-298	modern_corpus_spanish-374189-403	actitud
modern_corpus_spanish-293376-609	modern_corpus_spanish-334692-449	actitud
modern_corpus_spanish-293376-609	modern_corpus_spanish-39873-611	actitud
modern_corpus_spanish-293376-609	modern_corpus_spanish-504951-267	actitud
modern_corpus_spanish-581047-325	old_corpus_spanish-307259-590	actitud
modern_corpus_spanish-185053-298	old_corpus_spanish-239319-301	actitud
modern_corpus_spanish-185053-298	old_corpus_spanish-238395-699	actitud
modern_corpus_spanish-581047-325	old_corpus_spanish-395151-63	actitud
modern_corpus_spanish-581047-325	old_corpus_spanish-469520-221	actitud
modern_corpus_spanish-581047-325	old_corpus_spanish-300330-572	actitud
modern_corpus_spanish-581047-325	old_corpus_spanish-213099-525	actitud
modern_corpus_spanish-581047-325	old_corpus_spanish-18093-905	actitud
modern_corpus_spanish-581047-325	modern_corpus_spanish-704393-535	actitud
modern_corpus_spanish-581047-325	modern_corpus_spanish-672315-135	actitud
modern_corpus_spanish-185053-298	old_corpus_spanish-201934-304	actitud
modern_corpus_spanish-334692-449	old_corpus_spanish-307259-590	actitud
modern_corpus_spanish-334692-449	modern_corpus_spanish-532602-469	actitud
old_corpus_spanish-238395-699	old_corpus_spanish-300330-572	actitud
old_corpus_spanish-238395-699	old_corpus_spanish-469520-221	actitud
modern_corpus_spanish-334692-449	modern_corpus_spanish-504951-267	actitud
old_corpus_spanish-238395-699	old_corpus_spanish-472691-449	actitud
old_corpus_spanish-239319-301	old_corpus_spanish-472691-449	actitud
modern_corpus_spanish-185053-298	old_corpus_spanish-300330-572	actitud
modern_corpus_spanish-334692-449	modern_corpus_spanish-668379-731	actitud
modern_corpus_spanish-293376-609	modern_corpus_spanish-704393-535	actitud
modern_corpus_spanish-374189-403	old_corpus_spanish-76588-305	actitud
modern_corpus_spanish-293376-609	old_corpus_spanish-213099-525	actitud
modern_corpus_spanish-39873-611	modern_corpus_spanish-658926-651	actitud
modern_corpus_spanish-39873-611	modern_corpus_spanish-56973-657	actitud
modern_corpus_spanish-39873-611	modern_corpus_spanish-532602-469	actitud
old_corpus_spanish-307259-590	old_corpus_spanish-344792-969	actitud
modern_corpus_spanish-672315-135	old_corpus_spanish-357435-694	actitud
modern_corpus_spanish-672315-135	old_corpus_spanish-307259-590	actitud
modern_corpus_spanish-39873-611	modern_corpus_spanish-672315-135	actitud
modern_corpus_spanish-672315-135	old_corpus_spanish-256514-375	actitud
old_corpus_spanish-33462-365	old_corpus_spanish-357435-694	actitud
modern_corpus_spanish-704393-535	old_corpus_spanish-121638-213	actitud
modern_corpus_spanish-704393-535	old_corpus_spanish-213099-525	actitud
