identifier1	identifier2	lemma	median_cleaned	judgments
modern_corpus_spanish-293376-609	modern_corpus_spanish-334692-449	actitud	3.0	[3, 3, 2]
old_corpus_spanish-201934-304	old_corpus_spanish-33462-365	actitud	3.0	[3, 2, 3]
old_corpus_spanish-307259-590	old_corpus_spanish-344792-969	actitud	4.0	[4, 4, 4]
modern_corpus_spanish-185053-298	old_corpus_spanish-300330-572	actitud	4.0	[4, 4]
old_corpus_spanish-201934-304	old_corpus_spanish-300330-572	actitud	4.0	[4, 4]
modern_corpus_spanish-185053-298	modern_corpus_spanish-704393-535	actitud	4.0	[4, 4]
modern_corpus_spanish-236756-549	old_corpus_spanish-238395-699	actitud	2.0	[2, 2]
old_corpus_spanish-18093-905	old_corpus_spanish-256514-375	actitud	4.0	[4, 4]
modern_corpus_spanish-236756-549	old_corpus_spanish-256514-375	actitud	2.0	[2, 1, 2]
modern_corpus_spanish-854498-421	old_corpus_spanish-238395-699	actitud	1.0	[2, 1, 1]
old_corpus_spanish-201934-304	old_corpus_spanish-370834-473	actitud	3.0	[3, 3, 4]
old_corpus_spanish-121638-213	old_corpus_spanish-497345-703	actitud	4.0	[4, 4]
modern_corpus_spanish-704393-535	old_corpus_spanish-357435-694	actitud	3.0	[3, 3]
modern_corpus_spanish-704393-535	old_corpus_spanish-121638-213	actitud	2.0	[2, 3, 2]
old_corpus_spanish-238395-699	old_corpus_spanish-469520-221	actitud	2.0	[3, 2, 2]
old_corpus_spanish-213099-525	old_corpus_spanish-472691-449	actitud	3.0	[3, 3]
old_corpus_spanish-213099-525	old_corpus_spanish-383105-569	actitud	4.0	[4, 4]
old_corpus_spanish-256514-375	old_corpus_spanish-33462-365	actitud	4.0	[4, 3, 4]
modern_corpus_spanish-236756-549	old_corpus_spanish-497345-703	actitud	1.0	[1, 1]
old_corpus_spanish-256514-375	old_corpus_spanish-383105-569	actitud	4.0	[4, 4]
old_corpus_spanish-213099-525	old_corpus_spanish-344792-969	actitud	3.0	[3, 3, 4]
old_corpus_spanish-213099-525	old_corpus_spanish-33462-365	actitud	4.0	[4, 3, 4]
old_corpus_spanish-213099-525	old_corpus_spanish-256514-375	actitud	4.0	[4, 4]
old_corpus_spanish-213099-525	old_corpus_spanish-239319-301	actitud	4.0	[4, 3, 4]
modern_corpus_spanish-658926-651	modern_corpus_spanish-854498-421	actitud	4.0	[4, 4, 3]
modern_corpus_spanish-658926-651	modern_corpus_spanish-704393-535	actitud	3.0	[3, 3]
old_corpus_spanish-121638-213	old_corpus_spanish-238395-699	actitud	4.0	[4, 4]
old_corpus_spanish-213099-525	old_corpus_spanish-370834-473	actitud	4.0	[4, 3, 4]
modern_corpus_spanish-658926-651	modern_corpus_spanish-668379-731	actitud	4.0	[4, 4]
modern_corpus_spanish-109472-549	modern_corpus_spanish-155141-1071	actitud	4.0	[4, 4]
modern_corpus_spanish-109472-549	old_corpus_spanish-395151-63	actitud	4.0	[4, 4]
modern_corpus_spanish-155141-1071	modern_corpus_spanish-236756-549	actitud	3.0	[3, 3]
modern_corpus_spanish-155141-1071	modern_corpus_spanish-293376-609	actitud	4.0	[4, 4]
modern_corpus_spanish-155141-1071	modern_corpus_spanish-658926-651	actitud	3.0	[3, 3]
modern_corpus_spanish-109472-549	old_corpus_spanish-497345-703	actitud	1.0	[1, 1]
modern_corpus_spanish-155141-1071	old_corpus_spanish-18093-905	actitud	2.0	[2, 2]
modern_corpus_spanish-155141-1071	old_corpus_spanish-256514-375	actitud	1.0	[1, 1]
old_corpus_spanish-395151-63	old_corpus_spanish-469520-221	actitud	4.0	[4, 4]
old_corpus_spanish-469520-221	old_corpus_spanish-472691-449	actitud	4.0	[4, 4]
modern_corpus_spanish-532602-469	old_corpus_spanish-357435-694	actitud	2.0	[2, 2]
modern_corpus_spanish-532602-469	modern_corpus_spanish-704393-535	actitud	4.0	[4, 4, 4]
modern_corpus_spanish-334692-449	modern_corpus_spanish-532602-469	actitud	4.0	[4, 4]
modern_corpus_spanish-504951-267	modern_corpus_spanish-668379-731	actitud	4.0	[4, 4, 4, 4]
modern_corpus_spanish-56183-657	modern_corpus_spanish-704393-535	actitud	3.0	[3, 3]
modern_corpus_spanish-334692-449	modern_corpus_spanish-668379-731	actitud	4.0	[4, 4]
modern_corpus_spanish-334692-449	old_corpus_spanish-76588-305	actitud	2.0	[2, 2]
modern_corpus_spanish-39873-611	old_corpus_spanish-344792-969	actitud	2.0	[2, 2]
modern_corpus_spanish-39873-611	modern_corpus_spanish-532602-469	actitud	3.0	[3, 3]
