identifier1	identifier2	lemma	median_cleaned	judgments
1700-1916_амбиция_758-14	1918-1990_амбиция_759-14	амбиция	4.0	[4, 4, 4]
1700-1916_амбиция_748-14	1918-1990_амбиция_749-14	амбиция	4.0	[4, 4, 4]
1700-1916_амбиция_750-14	1918-1990_амбиция_751-14	амбиция	3.0	[3, 2, 3]
1700-1916_амбиция_752-14	1918-1990_амбиция_753-14	амбиция	4.0	[3, 4, 4]
1700-1916_амбиция_752-16	1992-2016_амбиция_753-16	амбиция	4.0	[4, 4, 4]
1700-1916_амбиция_756-16	1992-2016_амбиция_757-16	амбиция	4.0	[4, 4, 4]
1918-1990_амбиция_790-15	1992-2016_амбиция_791-15	амбиция	3.0	[4, 3, 3]
1700-1916_амбиция_760-14	1918-1990_амбиция_761-14	амбиция	2.0	[3, 2, 2]
1700-1916_амбиция_760-16	1992-2016_амбиция_761-16	амбиция	3.0	[2, 3, 3]
1700-1916_амбиция_762-16	1992-2016_амбиция_763-16	амбиция	4.0	[3, 4, 4]
1700-1916_амбиция_764-16	1992-2016_амбиция_765-16	амбиция	4.0	[4, 4, 4]
1700-1916_амбиция_766-14	1918-1990_амбиция_767-14	амбиция	3.0	[3, 4, 3]
1700-1916_амбиция_766-16	1992-2016_амбиция_767-16	амбиция	4.0	[4, 4, 4]
1700-1916_амбиция_768-14	1918-1990_амбиция_769-14	амбиция	3.0	[4, 3, 3]
1700-1916_амбиция_768-16	1918-1990_амбиция_757-14	амбиция	4.0	[4, 4, 3]
1918-1990_амбиция_742-15	1992-2016_амбиция_743-15	амбиция	4.0	[4, 3, 4]
1918-1990_амбиция_746-15	1992-2016_амбиция_747-15	амбиция	4.0	[4, 4, 4]
1918-1990_амбиция_748-15	1992-2016_амбиция_749-15	амбиция	4.0	[4, 4, 4]
1918-1990_амбиция_784-15	1992-2016_амбиция_785-15	амбиция	4.0	[4, 4, 4]
1918-1990_амбиция_782-15	1992-2016_амбиция_783-15	амбиция	3.0	[3, 2, 3]
1918-1990_амбиция_781-14	1992-2016_амбиция_769-15	амбиция	4.0	[4, 4, 4]
1918-1990_амбиция_780-15	1992-2016_амбиция_781-15	амбиция	3.0	[3, 3, 4]
1918-1990_амбиция_776-15	1992-2016_амбиция_777-15	амбиция	3.0	[4, 3, 3]
1918-1990_амбиция_774-15	1992-2016_амбиция_775-15	амбиция	4.0	[4, 3, 4]
1700-1916_амбиция_746-14	1918-1990_амбиция_747-14	амбиция	1.0	[1, 1, 1]
1918-1990_амбиция_772-15	1992-2016_амбиция_773-15	амбиция	4.0	[4, 4, 4]
1918-1990_амбиция_769-14	1992-2016_амбиция_779-15	амбиция	4.0	[4, 3, 4]
1918-1990_амбиция_766-15	1992-2016_амбиция_767-15	амбиция	4.0	[4, 4, 4]
1918-1990_амбиция_760-15	1992-2016_амбиция_761-15	амбиция	4.0	[4, 4, 4]
1918-1990_амбиция_754-15	1992-2016_амбиция_755-15	амбиция	4.0	[4, 4, 4]
1918-1990_амбиция_752-15	1992-2016_амбиция_753-15	амбиция	4.0	[4, 4, 4]
1918-1990_амбиция_750-15	1992-2016_амбиция_751-15	амбиция	4.0	[4, 4, 4]
1918-1990_амбиция_770-15	1992-2016_амбиция_771-15	амбиция	2.0	[2, 3, 2]
1918-1990_амбиция_786-15	1992-2016_амбиция_787-15	амбиция	4.0	[4, 3, 4]
1700-1916_амбиция_744-14	1918-1990_амбиция_745-14	амбиция	4.0	[3, 4, 4]
1700-1916_амбиция_740-16	1992-2016_амбиция_741-16	амбиция	4.0	[4, 3, 4]
1700-1916_амбиция_770-16	1992-2016_амбиция_771-16	амбиция	4.0	[4, 4, 4]
1700-1916_амбиция_772-16	1992-2016_амбиция_773-16	амбиция	4.0	[4, 4, 4]
1918-1990_амбиция_794-15	1992-2016_амбиция_795-15	амбиция	4.0	[4, 4, 4]
1700-1916_амбиция_796-16	1992-2016_амбиция_797-16	амбиция	4.0	[4, 3, 4]
1700-1916_амбиция_796-14	1918-1990_амбиция_797-14	амбиция	3.0	[3, 4, 3]
1700-1916_амбиция_794-16	1992-2016_амбиция_795-16	амбиция	4.0	[4, 3, 4]
1700-1916_амбиция_742-16	1918-1990_амбиция_791-14	амбиция	4.0	[4, 4, 4]
1700-1916_амбиция_790-16	1992-2016_амбиция_791-16	амбиция	3.0	[3, 3, 4]
1700-1916_амбиция_788-14	1992-2016_амбиция_739-16	амбиция	4.0	[4, 4, 4]
1700-1916_амбиция_788-14	1918-1990_амбиция_789-14	амбиция	4.0	[4, 4, 4]
1700-1916_амбиция_786-16	1992-2016_амбиция_787-16	амбиция	3.0	[3, 3, 2]
1700-1916_амбиция_794-14	1918-1990_амбиция_795-14	амбиция	4.0	[3, 4, 4]
1700-1916_амбиция_784-16	1992-2016_амбиция_785-16	амбиция	4.0	[4, 4, 4]
1700-1916_амбиция_786-14	1918-1990_амбиция_787-14	амбиция	3.0	[3, 3, 4]
1700-1916_амбиция_738-14	1918-1990_амбиция_739-14	амбиция	4.0	[4, 3, 4]
1700-1916_амбиция_774-14	1918-1990_амбиция_775-14	амбиция	4.0	[4, 4, 4]
1700-1916_амбиция_774-16	1992-2016_амбиция_775-16	амбиция	4.0	[4, 4, 3]
1700-1916_амбиция_776-16	1992-2016_амбиция_777-16	амбиция	4.0	[4, 4, 4]
1918-1990_амбиция_788-15	1992-2016_амбиция_789-15	амбиция	4.0	[4, 4, 4]
1700-1916_амбиция_778-16	1992-2016_амбиция_779-16	амбиция	4.0	[4, 3, 4]
1700-1916_амбиция_780-14	1918-1990_амбиция_781-14	амбиция	4.0	[3, 4, 4]
1700-1916_амбиция_782-14	1918-1990_амбиция_782-15	амбиция	4.0	[4, 4, 4]
1700-1916_амбиция_782-14	1992-2016_амбиция_751-16	амбиция	4.0	[4, 3, 4]
1700-1916_амбиция_778-14	1918-1990_амбиция_774-15	амбиция	4.0	[4, 4, 3]
археолог-70-12	археолог-71-12	археолог	4.0	[4, 4, 3, 4, 4]
археолог-66-12	археолог-67-12	археолог	4.0	[4, 4, 3, 4, 4]
археолог-34-12	археолог-35-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-60-12	археолог-61-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-6-12	археолог-7-12	археолог	4.0	[4, 4, 4, 3, 4]
археолог-74-12	археолог-75-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-64-12	археолог-65-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-76-12	археолог-77-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-84-12	археолог-85-12	археолог	4.0	[3, 4, 4, 4, 4]
археолог-8-12	археолог-9-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-80-12	археолог-81-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-58-12	археолог-59-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-90-12	археолог-91-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-92-12	археолог-93-12	археолог	4.0	[4, 4, 4, 3, 3]
археолог-96-12	археолог-97-12	археолог	4.0	[4, 4, 4, 4, 3]
археолог-98-12	археолог-99-12	археолог	3.0	[3, 4, 3, 3, 4]
археолог-78-12	археолог-79-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-36-12	археолог-37-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-56-12	археолог-57-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-48-12	археолог-49-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-32-12	археолог-33-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-30-12	археолог-31-12	археолог	4.0	[4, 3, 4, 4, 3]
археолог-28-12	археолог-29-12	археолог	4.0	[4, 3, 4, 3, 4]
археолог-26-12	археолог-27-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-24-12	археолог-25-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-22-12	археолог-23-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-20-12	археолог-21-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-18-12	археолог-19-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-38-12	археолог-39-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-14-12	археолог-15-12	археолог	4.0	[3, 4, 4, 4, 4]
археолог-118-12	археолог-119-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-52-12	археолог-53-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-116-12	археолог-117-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-110-12	археолог-111-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-108-12	археолог-109-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-106-12	археолог-107-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-104-12	археолог-105-12	археолог	4.0	[3, 4, 4, 4, 4]
археолог-100-12	археолог-101-12	археолог	4.0	[4, 4, 4, 4, 3]
археолог-10-12	археолог-11-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-0-12	археолог-1-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-4-12	археолог-5-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-40-12	археолог-41-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-42-12	археолог-43-12	археолог	4.0	[4, 4, 3, 4, 3]
археолог-44-12	археолог-45-12	археолог	4.0	[4, 3, 4, 4, 4]
археолог-112-12	археолог-113-12	археолог	4.0	[4, 4, 4, 4, 4]
археолог-16-12	археолог-17-12	археолог	4.0	[4, 3, 4, 4, 4]
археолог-82-12	археолог-83-12	археолог	4.0	[4, 4, 3, 4, 4]
беспредел-22-13	беспредел-23-13	беспредел	4.0	[4, 4, 3, 4, 4]
беспредел-4-13	беспредел-5-13	беспредел	4.0	[4, 3, 4, 4, 3]
беспредел-8-13	беспредел-9-13	беспредел	4.0	[4, 4, 3, 4, 4]
беспредел-14-13	беспредел-15-13	беспредел	4.0	[4, 4, 3, 3, 4]
беспредел-18-13	беспредел-19-13	беспредел	4.0	[4, 3, 3, 4, 4]
беспредел-2-13	беспредел-3-13	беспредел	4.0	[4, 4, 4, 3, 4]
благотворительность-116-13	благотворительность-117-13	благотворительность	4.0	[4, 4, 4, 4, 4]
благотворительность-74-13	благотворительность-75-13	благотворительность	4.0	[4, 4, 3, 4, 3]
благотворительность-12-13	благотворительность-13-13	благотворительность	4.0	[3, 4, 4, 4, 4]
благотворительность-98-13	благотворительность-99-13	благотворительность	4.0	[4, 4, 4, 4, 4]
благотворительность-96-13	благотворительность-97-13	благотворительность	4.0	[4, 3, 3, 4, 4]
благотворительность-94-13	благотворительность-95-13	благотворительность	4.0	[3, 4, 4, 4, 3]
благотворительность-90-13	благотворительность-91-13	благотворительность	4.0	[4, 4, 4, 4, 4]
благотворительность-88-13	благотворительность-89-13	благотворительность	4.0	[4, 4, 4, 4, 4]
благотворительность-84-13	благотворительность-85-13	благотворительность	4.0	[4, 4, 4, 3, 4]
благотворительность-82-13	благотворительность-83-13	благотворительность	4.0	[4, 4, 4, 4, 4]
благотворительность-80-13	благотворительность-81-13	благотворительность	4.0	[4, 4, 4, 4, 4]
благотворительность-76-13	благотворительность-77-13	благотворительность	4.0	[4, 4, 4, 3, 4]
благотворительность-106-13	благотворительность-107-13	благотворительность	4.0	[4, 3, 4, 4, 4]
благотворительность-66-13	благотворительность-67-13	благотворительность	4.0	[3, 4, 4, 4, 4]
благотворительность-6-13	благотворительность-7-13	благотворительность	4.0	[3, 4, 4, 4, 4]
благотворительность-54-13	благотворительность-55-13	благотворительность	4.0	[4, 3, 4, 4, 4]
благотворительность-52-13	благотворительность-53-13	благотворительность	4.0	[4, 4, 4, 4, 4]
благотворительность-50-13	благотворительность-51-13	благотворительность	4.0	[4, 4, 4, 4, 4]
благотворительность-42-13	благотворительность-43-13	благотворительность	4.0	[4, 4, 4, 4, 4]
