identifier1	identifier2	lemma
modern_corpus_spanish-293376-609	modern_corpus_spanish-334692-449	actitud
old_corpus_spanish-201934-304	old_corpus_spanish-33462-365	actitud
old_corpus_spanish-307259-590	old_corpus_spanish-344792-969	actitud
modern_corpus_spanish-185053-298	old_corpus_spanish-300330-572	actitud
old_corpus_spanish-201934-304	old_corpus_spanish-300330-572	actitud
modern_corpus_spanish-185053-298	modern_corpus_spanish-704393-535	actitud
modern_corpus_spanish-236756-549	old_corpus_spanish-238395-699	actitud
old_corpus_spanish-18093-905	old_corpus_spanish-256514-375	actitud
modern_corpus_spanish-236756-549	old_corpus_spanish-256514-375	actitud
modern_corpus_spanish-854498-421	old_corpus_spanish-238395-699	actitud
old_corpus_spanish-201934-304	old_corpus_spanish-370834-473	actitud
old_corpus_spanish-121638-213	old_corpus_spanish-497345-703	actitud
modern_corpus_spanish-704393-535	old_corpus_spanish-357435-694	actitud
modern_corpus_spanish-704393-535	old_corpus_spanish-121638-213	actitud
old_corpus_spanish-238395-699	old_corpus_spanish-469520-221	actitud
old_corpus_spanish-213099-525	old_corpus_spanish-472691-449	actitud
old_corpus_spanish-213099-525	old_corpus_spanish-383105-569	actitud
old_corpus_spanish-256514-375	old_corpus_spanish-33462-365	actitud
modern_corpus_spanish-236756-549	old_corpus_spanish-497345-703	actitud
old_corpus_spanish-256514-375	old_corpus_spanish-383105-569	actitud
old_corpus_spanish-213099-525	old_corpus_spanish-344792-969	actitud
old_corpus_spanish-213099-525	old_corpus_spanish-33462-365	actitud
old_corpus_spanish-213099-525	old_corpus_spanish-256514-375	actitud
old_corpus_spanish-213099-525	old_corpus_spanish-239319-301	actitud
modern_corpus_spanish-658926-651	modern_corpus_spanish-854498-421	actitud
modern_corpus_spanish-658926-651	modern_corpus_spanish-704393-535	actitud
old_corpus_spanish-121638-213	old_corpus_spanish-238395-699	actitud
old_corpus_spanish-213099-525	old_corpus_spanish-370834-473	actitud
modern_corpus_spanish-658926-651	modern_corpus_spanish-668379-731	actitud
modern_corpus_spanish-109472-549	modern_corpus_spanish-155141-1071	actitud
modern_corpus_spanish-109472-549	old_corpus_spanish-395151-63	actitud
modern_corpus_spanish-155141-1071	modern_corpus_spanish-236756-549	actitud
