identifier1	identifier2	lemma	mean_disagreement_cleaned	judgments
modern_corpus_spanish-293376-609	modern_corpus_spanish-56973-657	actitud	0.0	[4, 4]
modern_corpus_spanish-334692-449	old_corpus_spanish-370834-473	actitud	0.0	[4, 4]
modern_corpus_spanish-185053-298	modern_corpus_spanish-704393-535	actitud	0.0	[4, 4]
modern_corpus_spanish-185053-298	modern_corpus_spanish-374189-403	actitud	1.0	[4, 3]
modern_corpus_spanish-293376-609	modern_corpus_spanish-334692-449	actitud	0.6666666666666666	[3, 3, 2]
modern_corpus_spanish-293376-609	modern_corpus_spanish-39873-611	actitud	1.3333333333333333	[3, 4, 2]
modern_corpus_spanish-293376-609	modern_corpus_spanish-504951-267	actitud	1.0	[3, 4]
modern_corpus_spanish-581047-325	old_corpus_spanish-307259-590	actitud	1.0	[4, 3]
modern_corpus_spanish-185053-298	old_corpus_spanish-239319-301	actitud	1.0	[2, 1]
modern_corpus_spanish-185053-298	old_corpus_spanish-238395-699	actitud	1.3333333333333333	[3, 2, 1]
modern_corpus_spanish-581047-325	old_corpus_spanish-395151-63	actitud	0.6666666666666666	[3, 4, 3]
modern_corpus_spanish-581047-325	old_corpus_spanish-469520-221	actitud	3.0	[4, 1]
modern_corpus_spanish-581047-325	old_corpus_spanish-300330-572	actitud	0.0	[3, 3]
modern_corpus_spanish-581047-325	old_corpus_spanish-213099-525	actitud	0.6666666666666666	[2, 1, 1]
modern_corpus_spanish-581047-325	old_corpus_spanish-18093-905	actitud	1.3333333333333333	[3, 2, 1]
modern_corpus_spanish-581047-325	modern_corpus_spanish-704393-535	actitud	0.6666666666666666	[4, 4, 3]
modern_corpus_spanish-581047-325	modern_corpus_spanish-672315-135	actitud	0.0	[3, 3]
modern_corpus_spanish-185053-298	old_corpus_spanish-201934-304	actitud	1.0	[3, 4, 3, 2]
modern_corpus_spanish-334692-449	old_corpus_spanish-307259-590	actitud	3.0	[4, 1]
modern_corpus_spanish-334692-449	modern_corpus_spanish-532602-469	actitud	0.0	[4, 4]
old_corpus_spanish-238395-699	old_corpus_spanish-300330-572	actitud	1.3333333333333333	[3, 3, 1]
old_corpus_spanish-238395-699	old_corpus_spanish-469520-221	actitud	0.6666666666666666	[3, 2, 2]
modern_corpus_spanish-334692-449	modern_corpus_spanish-504951-267	actitud	0.6666666666666666	[3, 4, 4, 3]
old_corpus_spanish-238395-699	old_corpus_spanish-472691-449	actitud	1.0	[2, 3]
old_corpus_spanish-239319-301	old_corpus_spanish-472691-449	actitud	1.0	[3, 4]
modern_corpus_spanish-185053-298	old_corpus_spanish-300330-572	actitud	0.0	[4, 4]
modern_corpus_spanish-334692-449	modern_corpus_spanish-668379-731	actitud	0.0	[4, 4]
modern_corpus_spanish-293376-609	modern_corpus_spanish-704393-535	actitud	0.0	[4, 4]
modern_corpus_spanish-374189-403	old_corpus_spanish-76588-305	actitud	1.0	[2, 1]
modern_corpus_spanish-293376-609	old_corpus_spanish-213099-525	actitud	1.0	[2, 1]
modern_corpus_spanish-39873-611	modern_corpus_spanish-658926-651	actitud	1.0	[3, 2]
modern_corpus_spanish-39873-611	modern_corpus_spanish-56973-657	actitud	1.0	[4, 3]
modern_corpus_spanish-39873-611	modern_corpus_spanish-532602-469	actitud	0.0	[3, 3]
old_corpus_spanish-307259-590	old_corpus_spanish-344792-969	actitud	0.0	[4, 4, 4]
modern_corpus_spanish-672315-135	old_corpus_spanish-357435-694	actitud	1.3333333333333333	[4, 3, 2]
modern_corpus_spanish-672315-135	old_corpus_spanish-307259-590	actitud	3.0	[4, 1]
modern_corpus_spanish-39873-611	modern_corpus_spanish-672315-135	actitud	1.0	[4, 3]
modern_corpus_spanish-672315-135	old_corpus_spanish-256514-375	actitud	1.0	[3, 2]
old_corpus_spanish-33462-365	old_corpus_spanish-357435-694	actitud	1.0	[2, 3]
modern_corpus_spanish-704393-535	old_corpus_spanish-121638-213	actitud	0.6666666666666666	[2, 3, 2]
modern_corpus_spanish-704393-535	old_corpus_spanish-213099-525	actitud	1.0	[3, 2]
modern_corpus_spanish-704393-535	old_corpus_spanish-357435-694	actitud	0.0	[3, 3]
modern_corpus_spanish-704393-535	old_corpus_spanish-383105-569	actitud	1.0	[2, 1]
modern_corpus_spanish-704393-535	old_corpus_spanish-395151-63	actitud	1.3333333333333333	[2, 4, 2]
modern_corpus_spanish-672315-135	old_corpus_spanish-201934-304	actitud	1.0	[3, 2]
modern_corpus_spanish-704393-535	old_corpus_spanish-469520-221	actitud	3.0	[4, 1]
modern_corpus_spanish-39873-611	modern_corpus_spanish-854498-421	actitud	2.0	[2, 4]
modern_corpus_spanish-39873-611	old_corpus_spanish-18093-905	actitud	1.0	[2, 1]
modern_corpus_spanish-672315-135	old_corpus_spanish-370834-473	actitud	1.0	[2, 1]
modern_corpus_spanish-56973-657	old_corpus_spanish-395151-63	actitud	2.0	[4, 2, 1]
modern_corpus_spanish-39873-611	old_corpus_spanish-383105-569	actitud	1.1666666666666667	[2, 3, 1, 1]
modern_corpus_spanish-56973-657	old_corpus_spanish-239319-301	actitud	2.0	[3, 1]
modern_corpus_spanish-56973-657	old_corpus_spanish-213099-525	actitud	2.0	[3, 1]
modern_corpus_spanish-56973-657	old_corpus_spanish-121638-213	actitud	0.0	[1, 1]
modern_corpus_spanish-39873-611	old_corpus_spanish-121638-213	actitud	1.0	[2, 1]
modern_corpus_spanish-56973-657	modern_corpus_spanish-854498-421	actitud	1.0	[3, 2]
modern_corpus_spanish-39873-611	old_corpus_spanish-307259-590	actitud	1.0	[2, 1]
modern_corpus_spanish-39873-611	old_corpus_spanish-300330-572	actitud	2.0	[2, 4]
modern_corpus_spanish-39873-611	old_corpus_spanish-256514-375	actitud	2.0	[3, 1]
old_corpus_spanish-469520-221	old_corpus_spanish-472691-449	actitud	0.0	[4, 4]
old_corpus_spanish-469520-221	old_corpus_spanish-497345-703	actitud	1.0	[3, 4]
modern_corpus_spanish-39873-611	old_corpus_spanish-238395-699	actitud	1.0	[2, 3]
modern_corpus_spanish-39873-611	old_corpus_spanish-344792-969	actitud	0.0	[2, 2]
modern_corpus_spanish-293376-609	old_corpus_spanish-121638-213	actitud	1.0	[3, 2]
old_corpus_spanish-33462-365	old_corpus_spanish-469520-221	actitud	1.0	[3, 0, 4]
modern_corpus_spanish-712918-725	old_corpus_spanish-201934-304	actitud	1.3333333333333333	[4, 2, 2]
modern_corpus_spanish-668379-731	old_corpus_spanish-121638-213	actitud	1.0	[2, 3]
modern_corpus_spanish-668379-731	modern_corpus_spanish-672315-135	actitud	1.0	[4, 3]
modern_corpus_spanish-293376-609	old_corpus_spanish-76588-305	actitud	1.0	[2, 3]
modern_corpus_spanish-293376-609	old_corpus_spanish-469520-221	actitud	3.0	[4, 1]
