identifier1	identifier2	lemma	median_cleaned	judgments
bib11653838_19031120_147024_47_0002_alto.xml-80-14	bib15873936_18960222_147385_22_0002_alto.xml-70-20	aktiv	4.0	[4, 4]
bib19225772_18130202_148004_12_0002_alto.xml-16-18	bib19277349_18950919_147403_120_0001_alto.xml-47-4	aktiv	4.0	[4, 4]
bib19225772_18150627_148004_71_0001_alto.xml-1-0	bib19277277_18950322_147683_80_0001_alto.xml-22-22	aktiv	2.0	[2, 2]
bib11653825_18040906_145134_107_0004_alto.xml-8-38	bib11653830_18950208_146968_17_0003_alto.xml-18-3	aktiv	4.0	[4, 4]
bib11653828_18250322_144028_67_0002_alto.xml-9-22	bib11653838_19000427_147024_17_0002_alto.xml-20-10	aktiv	2.0	[2, 2]
bib11653825_18050204_145134_14_0002_alto.xml-11-23	bib19277277_18951225_147683_352_0004_alto.xml-114-1	aktiv	4.0	[4, 4]
bib11653828_18250322_144028_67_0002_alto.xml-9-22	bib13506739_18120519_144030_113_0016_alto.xml-3-2	aktiv	2.0	[2, 3, 2]
bib11653828_18250322_144028_67_0002_alto.xml-9-22	bib19225758_18950424_144022_94_0001_alto.xml-46-1	aktiv	1.0	[1, 1]
bib11653828_18250322_144028_67_0002_alto.xml-9-22	bib19277277_18300709_147682_155_0001_alto.xml-47-3	aktiv	1.0	[1, 1]
bib15761570_18951003_146176_164_0002_alto.xml-2-4	bib15873371_18950617_145112_162_0002_alto.xml-187-24	aktiv	4.0	[4, 4]
bib11653811_18991216_145317_194_0006_alto.xml-62-22	bib11653811_19010720_145317_110_0003_alto.xml-22-15	aktiv	4.0	[4, 4, 4]
bib15873936_18961017_147385_121_0002_alto.xml-133-3	bib19277330_18950214_0_19_0002_alto.xml-48-24	aktiv	4.0	[4, 4]
bib19227291_18960901_145289_105_0003_alto.xml-56-20	bib19227462_18951001_147640_228_0002_alto.xml-50-39	aktiv	4.0	[4, 4]
bib15761570_18950827_146176_140_0003_alto.xml-127-18	bib19225772_18150627_148004_71_0001_alto.xml-1-0	aktiv	4.0	[4, 4]
bib11653828_18300212_144028_35_0002_alto.xml-11-61	bib19223423_18020519_145063_40_0003_alto.xml-2-1	aktiv	1.0	[1, 1]
bib15760600_18950718_146401_84_0002_alto.xml-9-13	bib15760600_18950820_146401_98_0003_alto.xml-179-9	aktiv	4.0	[4, 4]
bib11653790_18960131_145648_5_0006_alto.xml-71-2	bib15650835_18960313_146472_41_0007_alto.xml-45-0	aktiv	4.0	[4, 4, 4]
bib11653790_18960131_145648_5_0006_alto.xml-71-2	bib15650835_18950205_146472_10_0002_alto.xml-70-129	aktiv	4.0	[4, 4]
bib11653790_18960131_145648_5_0006_alto.xml-71-2	bib15650814_18950917_146365_217_0001_alto.xml-87-0	aktiv	4.0	[4, 4]
bib11653790_18960131_145648_5_0006_alto.xml-71-2	bib11653828_18290218_144028_40_0003_alto.xml-1-12	aktiv	3.0	[3, 3]
bib11653828_18290506_144028_103_0002_alto.xml-12-57	bib11653838_19011115_147024_46_0001_alto.xml-95-18	aktiv	3.0	[3, 3]
bib11653828_18290506_144028_103_0002_alto.xml-12-57	bib11653830_18960309_146968_20_0001_alto.xml-41-23	aktiv	4.0	[4, 4, 4, 4]
bib11653790_19020805_145648_60_0002_alto.xml-61-11	bib11653830_18960309_146968_20_0001_alto.xml-41-23	aktiv	4.0	[4, 4]
bib11653828_18290915_144028_213_0002_alto.xml-8-3	bib19225758_18950504_144022_103_0006_alto.xml-194-5	aktiv	4.0	[4, 4, 4]
bib19225758_18950820_144022_192_0002_alto.xml-0-10	bib19277277_18300709_147682_155_0001_alto.xml-47-3	aktiv	3.0	[3, 3]
bib11653828_18290326_144028_70_0002_alto.xml-6-20	bib19227462_18950221_147640_44_0003_alto.xml-41-27	aktiv	4.0	[4, 4]
bib11653828_18290326_144028_70_0002_alto.xml-6-20	bib15650837_18020507_146391_37_0002_alto.xml-9-20	aktiv	4.0	[4, 4]
bib11653815_18970830_146944_99_0003_alto.xml-61-13	bib19277277_18290406_147682_79_0001_alto.xml-4-13	aktiv	4.0	[4, 4]
bib11653828_18240913_144028_212_0001_alto.xml-0-41	bib19225758_18950504_144022_103_0006_alto.xml-194-5	aktiv	4.0	[4, 4]
bib11653828_18240913_144028_212_0001_alto.xml-0-41	bib19277277_18950128_147683_27_0010_alto.xml-75-12	aktiv	3.0	[3, 3]
bib19225758_18950820_144022_192_0002_alto.xml-0-10	bib19277277_18290220_147682_42_0001_alto.xml-4-68	aktiv	3.0	[4, 3, 3]
bib11653828_18290225_144028_46_0003_alto.xml-8-15	bib11653830_18960309_146968_20_0001_alto.xml-41-23	aktiv	4.0	[4, 4]
bib11653828_17910122_144028_17_0001_alto.xml-8-48	bib19277277_18951225_147683_352_0004_alto.xml-114-1	aktiv	3.0	[2, 3, 3]
bib15975090_18960922_148377_118_0003_alto.xml-99-15	bib19277330_18950214_0_19_0002_alto.xml-48-24	aktiv	4.0	[3, 4, 4]
bib15761570_18951003_146176_164_0002_alto.xml-2-4	bib19227462_18951001_147640_228_0002_alto.xml-50-39	aktiv	4.0	[3, 4, 4]
bib11653790_18960131_145648_5_0006_alto.xml-71-2	bib11653825_18021216_145134_150_0002_alto.xml-5-2	aktiv	3.0	[3, 3]
bib19227462_18950816_147640_189_0003_alto.xml-177-15	bib19520388_18000108_147487_2_0004_alto.xml-4-21	aktiv	4.0	[4, 4]
bib15650837_17950826_146391_68_0003_alto.xml-1-5	bib15873371_18950111_145112_10_0002_alto.xml-15-25	aktiv	4.0	[4, 4, 3]
bib11653828_18300212_144028_35_0002_alto.xml-11-61	bib15760600_18950820_146401_98_0003_alto.xml-179-9	aktiv	4.0	[4, 4]
bib11653830_18980516_146968_38_0003_alto.xml-83-11	bib19277277_18950128_147683_27_0010_alto.xml-75-12	aktiv	4.0	[4, 4, 4]
bib11653790_18980128_145648_8_0008_alto.xml-19-25	bib11653828_18290326_144028_70_0002_alto.xml-6-20	aktiv	4.0	[4, 4]
bib11653790_18980128_145648_8_0008_alto.xml-19-25	bib15873371_18950613_145112_158_0003_alto.xml-50-28	aktiv	3.0	[3, 3]
